date,invoiceId,project,amount,vat,total,payMethod,clear,remark,supplier
6/20/21,10104,צייטלין,8400 ,"1,428","9,828","10202, 10203",,,אדם
6/27/21,10114,צייטלין,56100 ,"9,537","65,637","10209, 10210",,,אדם
7/4/21,10131,צייטלין,40000 ,"6,800","46,800","10212, 10213",,,אדם
7/11/21,10142,צייטלין,37800 ,"6,426","44,226","10215, 10216",,,אדם
7/18/21,10157,צייטלין,47500 ,"8,075","55,575","10219, 10220",,,אדם
7/25/21,10174,צייטלין,46000 ,"7,820","53,820","10224, 10225",,,אדם
8/1/21,10187,צייטלין,60350 ,"10,260","70,610","10226, 10227",,,אדם
8/8/21,10204,צייטלין,30000 ,"5,100","35,100","10230, 10232",,,אדם
8/15/21,10220,צייטלין,30250 ,"5,143","35,393","10241, 10242",,,אדם
8/15/21,10221,מחל 40,90000 ,"15,300","105,300","10241, 10242",,צהוב,אדם
8/15/21,10222,ביכורים,15000 ,"2,550","17,550","10241, 10242",,,אדם
8/22/21,10232,צייטלין,29250 ,"4,973","34,223","10245, 10246",,,אדם
8/22/21,10233,מחל 40,53100 ,"9,027","62,127","10245, 10246",,,אדם
8/22/21,10234,ביכורים,20000 ,"3,400","23,400","10245, 10246",,,אדם
8/29/21,10241,מחל 40,39500 ,"6,715","46,215","10250, 10251",,,אדם
8/29/21,10242,ביכורים,15000 ,"2,550","17,550","10250, 10251",,,אדם
9/26/21,10285,מחל 40,9300 ,"1,581","10,881","10260, 10261",,,אדם
10/3/21,10297,מחל 40,10000 ,"1,700","11,700","10268, 10269",,,אדם
10/10/21,10303,מחל 40,49000 ,"8,330","57,330","10272, 10273",2,,אדם
10/17/21,10308,מחל 40,62000 ,"10,540","72,540","10274, 10275",,צהוב,אדם
10/17/21,10321,מחוננים,20000 ,"3,400","23,400",10282,2,ווצאפ,אדם
10/17/21,10320,וונצואלה,20000 ,"3,400","23,400",10282,2,ווצאפ,אדם
10/24/21,10338,מחוננים,18200 ,"3,094","21,294",10284,2,ווצאפ,אדם
10/24/21,10339,וונצואלה,25000 ,"4,250","29,250",10284,2,ווצאפ,אדם
10/31/21,10352,מחוננים,10000 ,"1,700","11,700",10286,,,אדם
10/31/21,10352,וונצואלה,23000 ,"3,910","26,910",10286,,רגיל 10 + איטום 10 + איטום יומיות 3,אדם
10/31/21,10352,צוקי אביב,20000 ,"3,400","23,400",10286,,,אדם
10/31/21,10352,רמת החייל,1000 ,170,"1,170",10286,,,אדם
10/31/21,10352,החשמונאים,1000 ,170,"1,170",10286,,,אדם
10/31/21,10352,שונות,2950 ,502,"3,452",10286,,תיקון רכב 2000+ קונגו 350 + תשלום למרק 600,אדם
11/7/21,10362,בית מארס,10000 ,"1,700","11,700",10296,2,ווצאפ,אדם
11/7/21,10363,רמת החייל,5000 ,850,"5,850",10296,2,,אדם
