date,invoiceId,project,amount,vat,total,payMethod,clear,remark,supplier
20/06/2021,10104,צייטלין,"8,400","1,428","9,828","10202, 10203",,,אדם
27/06/2021,10114,צייטלין,"56,100","9,537","65,637","10209, 10210",,,אדם
04/07/2021,10131,צייטלין,"40,000","6,800","46,800","10212, 10213",,,אדם
11/07/2021,10142,צייטלין,"37,800","6,426","44,226","10215, 10216",,,אדם
18/07/2021,10157,צייטלין,"47,500","8,075","55,575","10219, 10220",,,אדם
25/07/2021,10174,צייטלין,"46,000","7,820","53,820","10224, 10225",,,אדם
01/08/2021,10187,צייטלין,"60,350","10,260","70,610","10226, 10227",,,אדם
08/08/2021,10204,צייטלין,"30,000","5,100","35,100","10230, 10232",,,אדם
15/08/2021,10220,צייטלין,"30,250","5,143","35,393","10241, 10242",,,אדם
15/08/2021,10221,מחל 40,"90,000","15,300","105,300","10241, 10242",,צהוב,אדם
15/08/2021,10222,ביכורים,"15,000","2,550","17,550","10241, 10242",,,אדם
22/08/2021,10232,צייטלין,"29,250","4,973","34,223","10245, 10246",,,אדם
22/08/2021,10233,מחל 40,"53,100","9,027","62,127","10245, 10246",,,אדם
22/08/2021,10234,ביכורים,"20,000","3,400","23,400","10245, 10246",,,אדם
29/08/2021,10241,מחל 40,39500,"6,715","46,215","10250, 10251",,,אדם
29/08/2021,10242,ביכורים,"15,000","2,550","17,550","10250, 10251",,,אדם
26/09/2021,10285,מחל 40,9300,"1,581","10,881","10260, 10261",,,אדם
03/10/2021,10297,מחל 40,10000,"1,700","11,700","10268, 10269",,,אדם
10/10/2021,10303,מחל 40,49000,"8,330","57,330","10272, 10273",2,,אדם
17/10/2021,10308,מחל 40,"62,000","10,540","72,540","10274, 10275",,צהוב,אדם
17/10/2021,10321,מחוננים,"20,000","3,400","23,400",10282,2,ווצאפ,אדם
17/10/2021,10320,וונצואלה,"20,000","3,400","23,400",10282,2,ווצאפ,אדם
24/10/2021,10338,מחוננים,18200,"3,094","21,294",10284,2,ווצאפ,אדם
24/10/2021,10339,וונצואלה,25000,"4,250","29,250",10284,2,ווצאפ,אדם
31/10/2021,10352,מחוננים,"10,000","1,700","11,700",10286,,,אדם
31/10/2021,10352,וונצואלה,"23,000","3,910","26,910",10286,,רגיל 10 + איטום 10 + איטום יומיות 3,אדם
31/10/2021,10352,צוקי אביב,"20,000","3,400","23,400",10286,,,אדם
31/10/2021,10352,רמת החייל,"1,000",170,"1,170",10286,,,אדם
31/10/2021,10352,החשמונאים,"1,000",170,"1,170",10286,,,אדם
31/10/2021,10352,שונות,"2,950",502,"3,452",10286,,תיקון רכב 2000+ קונגו 350 + תשלום למרק 600,אדם
07/11/2021,10362,בית מארס,"10,000","1,700","11,700",10296,2,ווצאפ,אדם
07/11/2021,10363,רמת החייל,"5,000",850,"5,850",10296,2,,אדם
07/11/2021,10364,החשמונאים,"5,000",850,"5,850",10296,2,,אדם
14/11/2021,10375,בית מארס,"47,000","7,990","54,990",10302,2,ווצאפ,אדם
14/11/2021,10376,רמת החייל,"6,000","1,020","7,020",10302,2,,אדם
14/11/2021,10377,החשמונאים,"2,000",340,"2,340",10302,2,,אדם
21/11/2021,10396,בית מארס,"30,000","5,100","35,100",10309,2,,אדם
21/11/2021,10397,רמת החייל,"10,000","1,700","11,700",10309,2,,אדם
21/11/2021,10398,החשמונאים,"8,000","1,360","9,360",10309,2,,אדם
21/11/2021,10399,תיכונט,"55,000","9,350","64,350",10309,2,,אדם
28/11/2021,10415,בית מארס,"20,000","3,400","23,400","10415, 10416",2,,אדם
